id,iconic_taxon,taxon_name,user_login,latitude,longitude,photos_id,photos_medium_url,license_photo,attribution,path
458518,actinopterygii,Tripterygion melanurus,cescgv,41.4082067245,2.2266894579,618429,https://minka-sdg.org/attachments/local_photos/files/618429/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458518_618429.jpg
458517,actinopterygii,Scorpaena porcus,cescgv,41.4082067245,2.2266894579,618430,https://minka-sdg.org/attachments/local_photos/files/618430/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458517_618430.jpg
458516,animalia,Phallusia mammillata,cescgv,41.4082067245,2.2266894579,618453,https://minka-sdg.org/attachments/local_photos/files/618453/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458516_618453.jpg
458515,actinopterygii,Gobius cruentatus,cescgv,41.4082067245,2.2266894579,618428,https://minka-sdg.org/attachments/local_photos/files/618428/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458515_618428.jpg
458514,actinopterygii,Tripterygion delaisi,cescgv,41.4082067245,2.2266894579,618427,https://minka-sdg.org/attachments/local_photos/files/618427/medium.jpeg,cc-by,"(c) cescgv, some rights reserved (CC BY)",458514_618427.jpg
454361,actinopterygii,Coris julis,laiachillaron,41.408649725,2.2265554399,612747,https://minka-sdg.org/attachments/local_photos/files/612747/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454361_612747.jpg
454360,actinopterygii,Gobius incognitus,laiachillaron,41.408649725,2.2265554399,612746,https://minka-sdg.org/attachments/local_photos/files/612746/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454360_612746.jpg
454359,echinodermata,Holothuria,laiachillaron,41.408761,2.226705,612745,https://minka-sdg.org/attachments/local_photos/files/612745/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454359_612745.jpg
454358,cnidaria,Actiniaria,laiachillaron,41.4084963619,2.2267806281,612744,https://minka-sdg.org/attachments/local_photos/files/612744/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454358_612744.jpg
454293,cnidaria,Actinia mediterranea,laiachillaron,41.408701321,2.2269360465,612621,https://minka-sdg.org/attachments/local_photos/files/612621/medium.jpeg,cc-by,"(c) laiachillaron, some rights reserved (CC BY)",454293_612621.jpg
452581,mollusca,Pusillina philippi,xasalva,41.4050754706,2.2216133735,610488,https://minka-sdg.org/attachments/local_photos/files/610488/medium.jpeg,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",452581_610488.jpg
452169,actinopterygii,Parablennius pilicornis,nereavieitez,41.3689802591,2.1920304819,610012,https://minka-sdg.org/attachments/local_photos/files/610012/medium.jpeg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",452169_610012.jpg
452168,actinopterygii,Tripterygion delaisi,nereavieitez,41.3689802591,2.1920304819,610011,https://minka-sdg.org/attachments/local_photos/files/610011/medium.jpeg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",452168_610011.jpg
452167,echinodermata,Coscinasterias tenuispina,nereavieitez,41.3689802591,2.1920304819,610010,https://minka-sdg.org/attachments/local_photos/files/610010/medium.jpeg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",452167_610010.jpg
452166,actinopterygii,Parablennius pilicornis,nereavieitez,41.4098448353,2.2271394202,610009,https://minka-sdg.org/attachments/local_photos/files/610009/medium.jpeg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",452166_610009.jpg
452165,actinopterygii,Parablennius pilicornis,nereavieitez,41.4098448353,2.2271394202,610008,https://minka-sdg.org/attachments/local_photos/files/610008/medium.jpeg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",452165_610008.jpg
452164,actinopterygii,Gobius incognitus,nereavieitez,41.4098448353,2.2271394202,610007,https://minka-sdg.org/attachments/local_photos/files/610007/medium.jpeg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",452164_610007.jpg
452163,actinopterygii,Tripterygion tripteronotum,nereavieitez,41.4098448353,2.2271394202,610006,https://minka-sdg.org/attachments/local_photos/files/610006/medium.jpeg,cc-by-nc,"(c) nereavieitez, some rights reserved (CC BY-NC)",452163_610006.jpg
450876,actinopterygii,Mugil cephalus,amb_platges,41.2848443425,2.0989787579,607443,https://minka-sdg.org/attachments/local_photos/files/607443/medium.jpg,cc-by,"(c) AMB Platges, some rights reserved (CC BY)",450876_607443.jpg
450681,plantae,Thymus vulgaris,aasafa,41.4029305556,2.1805861111,607035,https://minka-sdg.org/attachments/local_photos/files/607035/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450681_607035.jpg
450680,plantae,Brassicaceae,aasafa,41.4029305556,2.1805861111,607034,https://minka-sdg.org/attachments/local_photos/files/607034/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450680_607034.jpg
450679,plantae,Raphanus raphanistrum,aasafa,41.4029305556,2.1805861111,607033,https://minka-sdg.org/attachments/local_photos/files/607033/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450679_607033.jpg
450678,insecta,Aphis fabae,aasafa,41.4029305556,2.1805861111,607032,https://minka-sdg.org/attachments/local_photos/files/607032/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450678_607032.jpg
450677,plantae,Ficus carica,aasafa,41.4029305556,2.1805861111,607031,https://minka-sdg.org/attachments/local_photos/files/607031/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450677_607031.jpg
450676,plantae,Rhaphiolepis bibas,aasafa,41.4029722222,2.1806166667,607030,https://minka-sdg.org/attachments/local_photos/files/607030/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450676_607030.jpg
450675,mollusca,Ambigolimax valentianus,aasafa,41.4029722222,2.1806166667,607029,https://minka-sdg.org/attachments/local_photos/files/607029/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450675_607029.jpg
450674,plantae,Plantae,aasafa,41.402675,2.1802388889,607028,https://minka-sdg.org/attachments/local_photos/files/607028/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450674_607028.jpg
450673,reptilia,Tarentola mauritanica,aasafa,41.402675,2.1802388889,607026,https://minka-sdg.org/attachments/local_photos/files/607026/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450673_607026.jpg
450672,plantae,Euphorbia peplus,aasafa,41.402675,2.1802388889,607025,https://minka-sdg.org/attachments/local_photos/files/607025/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450672_607025.jpg
450671,plantae,Urtica,aasafa,41.402675,2.1802388889,607024,https://minka-sdg.org/attachments/local_photos/files/607024/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450671_607024.jpg
450670,plantae,Geraniaceae,aasafa,41.402675,2.1802388889,607023,https://minka-sdg.org/attachments/local_photos/files/607023/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450670_607023.jpg
450669,plantae,Borago officinalis,aasafa,41.402675,2.1802388889,607022,https://minka-sdg.org/attachments/local_photos/files/607022/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450669_607022.jpg
450668,plantae,Papaver,aasafa,41.402675,2.1802388889,607021,https://minka-sdg.org/attachments/local_photos/files/607021/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450668_607021.jpg
450667,plantae,Tropaeolum,aasafa,41.402675,2.1802388889,607020,https://minka-sdg.org/attachments/local_photos/files/607020/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450667_607020.jpg
450666,aves,Columba livia domestica,aasafa,41.4025361111,2.1804583333,607019,https://minka-sdg.org/attachments/local_photos/files/607019/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450666_607019.jpg
450665,plantae,Bromus catharticus,aasafa,41.4027777778,2.1804861111,607018,https://minka-sdg.org/attachments/local_photos/files/607018/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450665_607018.jpg
450664,plantae,Rosa,aasafa,41.4027777778,2.1804861111,607016,https://minka-sdg.org/attachments/local_photos/files/607016/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450664_607016.jpg
450663,annelida,Lumbricus terrestris,aasafa,41.4027777778,2.1804861111,607015,https://minka-sdg.org/attachments/local_photos/files/607015/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450663_607015.jpg
450662,crustacea,Porcellio,aasafa,41.4027777778,2.1804861111,607014,https://minka-sdg.org/attachments/local_photos/files/607014/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450662_607014.jpg
450661,plantae,Salvia officinalis,aasafa,41.4027777778,2.1804861111,607013,https://minka-sdg.org/attachments/local_photos/files/607013/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450661_607013.jpg
450660,plantae,Solanum lycopersicum,aasafa,41.4027777778,2.1804861111,607012,https://minka-sdg.org/attachments/local_photos/files/607012/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450660_607012.jpg
450659,plantae,Rhaponticum coniferum,aasafa,41.4027777778,2.1804861111,607011,https://minka-sdg.org/attachments/local_photos/files/607011/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450659_607011.jpg
450658,plantae,Allium,aasafa,41.4027777778,2.1804861111,607009,https://minka-sdg.org/attachments/local_photos/files/607009/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450658_607009.jpg
450657,plantae,Daucus,aasafa,41.4027777778,2.1804861111,607010,https://minka-sdg.org/attachments/local_photos/files/607010/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450657_607010.jpg
450656,plantae,Beta vulgaris,aasafa,41.4027777778,2.1804861111,607008,https://minka-sdg.org/attachments/local_photos/files/607008/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450656_607008.jpg
450655,plantae,Brassica oleracea,aasafa,41.4027777778,2.1804861111,607007,https://minka-sdg.org/attachments/local_photos/files/607007/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450655_607007.jpg
450654,plantae,Salvia rosmarinus,aasafa,41.4028166667,2.1807694444,607006,https://minka-sdg.org/attachments/local_photos/files/607006/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450654_607006.jpg
450653,plantae,Thymus vulgaris,aasafa,41.4028166667,2.1807694444,607004,https://minka-sdg.org/attachments/local_photos/files/607004/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450653_607004.jpg
450652,plantae,Lavandula dentata,aasafa,41.4028166667,2.1807694444,607005,https://minka-sdg.org/attachments/local_photos/files/607005/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450652_607005.jpg
450651,plantae,Urtica,aasafa,41.4028166667,2.1807694444,607003,https://minka-sdg.org/attachments/local_photos/files/607003/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450651_607003.jpg
450650,plantae,Crepis,aasafa,41.4028638889,2.1804,607002,https://minka-sdg.org/attachments/local_photos/files/607002/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450650_607002.jpg
450649,mollusca,Cornu aspersum,aasafa,41.4028638889,2.1804,607000,https://minka-sdg.org/attachments/local_photos/files/607000/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450649_607000.jpg
450648,plantae,Vicia faba,aasafa,41.4028638889,2.1804,606999,https://minka-sdg.org/attachments/local_photos/files/606999/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450648_606999.jpg
450647,plantae,Zea mays,aasafa,41.4028638889,2.1804,606998,https://minka-sdg.org/attachments/local_photos/files/606998/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450647_606998.jpg
450646,plantae,Fragaria vesca,aasafa,41.4028638889,2.1804,606997,https://minka-sdg.org/attachments/local_photos/files/606997/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450646_606997.jpg
450645,plantae,Plantago,aasafa,41.4028555556,2.1807027778,606996,https://minka-sdg.org/attachments/local_photos/files/606996/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450645_606996.jpg
450644,plantae,Borago officinalis,aasafa,41.4028555556,2.1807027778,606995,https://minka-sdg.org/attachments/local_photos/files/606995/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450644_606995.jpg
450643,plantae,Mentha,aasafa,41.4028555556,2.1807027778,606994,https://minka-sdg.org/attachments/local_photos/files/606994/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450643_606994.jpg
450642,plantae,Lavandula dentata,aasafa,41.4028555556,2.1807027778,606993,https://minka-sdg.org/attachments/local_photos/files/606993/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450642_606993.jpg
450641,plantae,Foeniculum vulgare,aasafa,41.4028555556,2.1807027778,606992,https://minka-sdg.org/attachments/local_photos/files/606992/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450641_606992.jpg
450640,plantae,Calendula,aasafa,41.4028555556,2.1807027778,606990,https://minka-sdg.org/attachments/local_photos/files/606990/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450640_606990.jpg
450639,plantae,Ranunculus,aasafa,41.4028555556,2.1807027778,606989,https://minka-sdg.org/attachments/local_photos/files/606989/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450639_606989.jpg
450638,plantae,Lysimachia arvensis,aasafa,41.4028555556,2.1807027778,606988,https://minka-sdg.org/attachments/local_photos/files/606988/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450638_606988.jpg
450637,plantae,Melilotus indicus,aasafa,41.4029333333,2.1807,606987,https://minka-sdg.org/attachments/local_photos/files/606987/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450637_606987.jpg
450636,plantae,Lamium amplexicaule,aasafa,41.4029333333,2.1807,606986,https://minka-sdg.org/attachments/local_photos/files/606986/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450636_606986.jpg
450635,plantae,Ranunculus,aasafa,41.4029333333,2.1807,606985,https://minka-sdg.org/attachments/local_photos/files/606985/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450635_606985.jpg
450634,plantae,Nothoscordum,aasafa,41.4029388889,2.1807555556,606984,https://minka-sdg.org/attachments/local_photos/files/606984/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450634_606984.jpg
450633,plantae,Rumex,aasafa,41.4029388889,2.1807555556,606983,https://minka-sdg.org/attachments/local_photos/files/606983/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450633_606983.jpg
450632,plantae,Solanum tuberosum,aasafa,41.4029388889,2.1807555556,606981,https://minka-sdg.org/attachments/local_photos/files/606981/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450632_606981.jpg
450631,insecta,Aphididae,aasafa,41.4027944444,2.1806138889,606980,https://minka-sdg.org/attachments/local_photos/files/606980/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450631_606980.jpg
450630,plantae,Geranium rotundifolium,aasafa,41.40267173,2.1806257435,606979,https://minka-sdg.org/attachments/local_photos/files/606979/medium.jpg,cc-by,"(c) aasafa, some rights reserved (CC BY)",450630_606979.jpg
450288,plantae,Silybum marianum,mingokt,41.506281,2.158717,606467,https://minka-sdg.org/attachments/local_photos/files/606467/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450288_606467.jpg
450288,plantae,Silybum marianum,mingokt,41.506281,2.158717,606466,https://minka-sdg.org/attachments/local_photos/files/606466/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450288_606466.jpg
450287,aves,Passer domesticus,mingokt,41.506289,2.158749,606465,https://minka-sdg.org/attachments/local_photos/files/606465/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450287_606465.jpg
450287,aves,Passer domesticus,mingokt,41.506289,2.158749,606464,https://minka-sdg.org/attachments/local_photos/files/606464/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450287_606464.jpg
450286,aves,Passer domesticus,mingokt,41.50635,2.158642,606463,https://minka-sdg.org/attachments/local_photos/files/606463/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450286_606463.jpg
450286,aves,Passer domesticus,mingokt,41.50635,2.158642,606462,https://minka-sdg.org/attachments/local_photos/files/606462/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450286_606462.jpg
450285,aves,Passer domesticus,mingokt,41.506245,2.158889,606460,https://minka-sdg.org/attachments/local_photos/files/606460/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450285_606460.jpg
450285,aves,Passer domesticus,mingokt,41.506245,2.158889,606461,https://minka-sdg.org/attachments/local_photos/files/606461/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450285_606461.jpg
450285,aves,Passer domesticus,mingokt,41.506245,2.158889,606458,https://minka-sdg.org/attachments/local_photos/files/606458/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450285_606458.jpg
450285,aves,Passer domesticus,mingokt,41.506245,2.158889,606456,https://minka-sdg.org/attachments/local_photos/files/606456/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450285_606456.jpg
450284,plantae,Hirschfeldia incana,mingokt,41.506299,2.158912,606455,https://minka-sdg.org/attachments/local_photos/files/606455/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450284_606455.jpg
450283,aves,Passer domesticus,mingokt,41.506261,2.158899,606454,https://minka-sdg.org/attachments/local_photos/files/606454/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450283_606454.jpg
450282,plantae,Agave americana,mingokt,41.506667,2.159076,606453,https://minka-sdg.org/attachments/local_photos/files/606453/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450282_606453.jpg
450281,plantae,Agave americana,mingokt,41.506687,2.159135,606452,https://minka-sdg.org/attachments/local_photos/files/606452/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450281_606452.jpg
450280,aves,Passer domesticus,mingokt,41.506719,2.159082,606451,https://minka-sdg.org/attachments/local_photos/files/606451/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450280_606451.jpg
450279,aves,Passer domesticus,mingokt,41.506261,2.15905,606450,https://minka-sdg.org/attachments/local_photos/files/606450/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450279_606450.jpg
450278,aves,Sturnus vulgaris,mingokt,41.506438,2.158508,606448,https://minka-sdg.org/attachments/local_photos/files/606448/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450278_606448.jpg
450278,aves,Sturnus vulgaris,mingokt,41.506438,2.158508,606449,https://minka-sdg.org/attachments/local_photos/files/606449/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450278_606449.jpg
450277,aves,Sturnus vulgaris,mingokt,41.506366,2.158492,606446,https://minka-sdg.org/attachments/local_photos/files/606446/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450277_606446.jpg
450277,aves,Sturnus vulgaris,mingokt,41.506366,2.158492,606447,https://minka-sdg.org/attachments/local_photos/files/606447/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450277_606447.jpg
450276,insecta,Vespa velutina,mingokt,41.504251,2.157619,606443,https://minka-sdg.org/attachments/local_photos/files/606443/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450276_606443.jpg
