project,city,observations,species,participants
111,Barcelona,191,70,11
82,Torrelles de Llobregat,68,37,2
96,Sant Joan Despí,31,20,2
84,El Prat de Llobregat,10,9,1
105,Santa Coloma de Gramenet,1,1,1
