id,photos_id,iconic_taxon,taxon_name,photos_medium_url,user_login,latitude,longitude,license_photo,attribution,path
455326,614151,actinopterygii,Aidablennius sphynx,https://minka-sdg.org/attachments/local_photos/files/614151/medium.jpeg,manelor,42.2373842232,3.2056156498,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455326_614151.jpg
455325,614150,platyhelminthes,Yungia aurantiaca,https://minka-sdg.org/attachments/local_photos/files/614150/medium.jpeg,manelor,42.2368752596,3.2063024256,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455325_614150.jpg
455324,614149,actinopterygii,Lepadogaster candolii,https://minka-sdg.org/attachments/local_photos/files/614149/medium.jpeg,manelor,42.2378931827,3.2069892013,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455324_614149.jpg
455323,614147,plantae,Ulva rigida,https://minka-sdg.org/attachments/local_photos/files/614147/medium.jpeg,manelor,42.2378931827,3.2063024256,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455323_614147.jpg
455323,614148,plantae,Ulva rigida,https://minka-sdg.org/attachments/local_photos/files/614148/medium.jpeg,manelor,42.2378931827,3.2063024256,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455323_614148.jpg
455322,614146,cnidaria,Anemonia viridis,https://minka-sdg.org/attachments/local_photos/files/614146/medium.jpeg,manelor,42.2389110893,3.2056156498,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455322_614146.jpg
455321,614145,actinopterygii,Parablennius pilicornis,https://minka-sdg.org/attachments/local_photos/files/614145/medium.jpeg,manelor,42.2384021381,3.2063024256,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455321_614145.jpg
455309,614107,actinopterygii,Diplodus puntazzo,https://minka-sdg.org/attachments/local_photos/files/614107/medium.jpeg,manelor,42.2378931827,3.2056156498,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455309_614107.jpg
455308,614106,actinopterygii,Scorpaena porcus,https://minka-sdg.org/attachments/local_photos/files/614106/medium.jpeg,manelor,42.2394200365,3.2069892013,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455308_614106.jpg
455307,614105,plantae,Rissoella verruculosa,https://minka-sdg.org/attachments/local_photos/files/614105/medium.jpeg,manelor,42.2384021381,3.2063024256,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455307_614105.jpg
455307,614103,plantae,Rissoella verruculosa,https://minka-sdg.org/attachments/local_photos/files/614103/medium.jpeg,manelor,42.2384021381,3.2063024256,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455307_614103.jpg
455307,614104,plantae,Rissoella verruculosa,https://minka-sdg.org/attachments/local_photos/files/614104/medium.jpeg,manelor,42.2384021381,3.2063024256,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455307_614104.jpg
455306,614102,platyhelminthes,Yungia aurantiaca,https://minka-sdg.org/attachments/local_photos/files/614102/medium.jpeg,manelor,42.2384021381,3.2069892013,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455306_614102.jpg
455304,614099,mollusca,Aplysia punctata,https://minka-sdg.org/attachments/local_photos/files/614099/medium.jpeg,manelor,42.2383363684,3.207708727,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455304_614099.jpg
455303,614098,platyhelminthes,Yungia aurantiaca,https://minka-sdg.org/attachments/local_photos/files/614098/medium.jpeg,manelor,42.2384021381,3.2056156498,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455303_614098.jpg
455302,614097,chromista,Dictyopteris polypodioides,https://minka-sdg.org/attachments/local_photos/files/614097/medium.jpeg,manelor,42.238461237,3.2070216908,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455302_614097.jpg
455301,614096,actinopterygii,Thalassoma pavo,https://minka-sdg.org/attachments/local_photos/files/614096/medium.jpeg,manelor,42.2378931827,3.2076759771,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455301_614096.jpg
455300,614095,,Colpomenia sinuosa,https://minka-sdg.org/attachments/local_photos/files/614095/medium.jpeg,manelor,42.2378931827,3.2069892013,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455300_614095.jpg
455299,614094,platyhelminthes,Yungia aurantiaca,https://minka-sdg.org/attachments/local_photos/files/614094/medium.jpeg,manelor,42.2363662919,3.2076759771,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455299_614094.jpg
455299,614093,platyhelminthes,Yungia aurantiaca,https://minka-sdg.org/attachments/local_photos/files/614093/medium.jpeg,manelor,42.2363662919,3.2076759771,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455299_614093.jpg
455299,614092,platyhelminthes,Yungia aurantiaca,https://minka-sdg.org/attachments/local_photos/files/614092/medium.jpeg,manelor,42.2363662919,3.2076759771,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455299_614092.jpg
455298,614090,chromista,Dictyopteris polypodioides,https://minka-sdg.org/attachments/local_photos/files/614090/medium.jpeg,manelor,42.2378931827,3.204928874,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455298_614090.jpg
455298,614091,chromista,Dictyopteris polypodioides,https://minka-sdg.org/attachments/local_photos/files/614091/medium.jpeg,manelor,42.2378931827,3.204928874,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455298_614091.jpg
455297,614089,porifera,Paraleucilla magna,https://minka-sdg.org/attachments/local_photos/files/614089/medium.jpeg,manelor,42.2389110893,3.2069892013,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455297_614089.jpg
455295,614087,actinopterygii,Thalassoma pavo,https://minka-sdg.org/attachments/local_photos/files/614087/medium.jpeg,manelor,42.2373842232,3.2076759771,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455295_614087.jpg
455294,614086,actinopterygii,Tripterygion tripteronotum,https://minka-sdg.org/attachments/local_photos/files/614086/medium.jpeg,manelor,42.2378931827,3.2063024256,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455294_614086.jpg
455293,614085,annelida,Protula tubularia,https://minka-sdg.org/attachments/local_photos/files/614085/medium.jpeg,manelor,42.2363662919,3.2056156498,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455293_614085.jpg
455292,614084,actinopterygii,Tripterygion delaisi,https://minka-sdg.org/attachments/local_photos/files/614084/medium.jpeg,manelor,42.2373842232,3.2056156498,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455292_614084.jpg
455291,614083,actinopterygii,Serranus scriba,https://minka-sdg.org/attachments/local_photos/files/614083/medium.jpeg,manelor,42.2373842232,3.2042420983,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",455291_614083.jpg
