id,created_at,updated_at,observed_on,observed_on_time,iconic_taxon,taxon_id,taxon_rank,taxon_name,latitude,longitude,obscured,place_name,quality_grade,user_id,user_login,license_obs,identifications_count,identifiers,num_identification_agreements,num_identification_disagreements,device,kingdom,phylum,class,order,family,genus
468727,2025-05-31,2025-05-31,2025-05-27,08:21:00,plantae,35146,species,Sphaerococcus coronopifolius,42.1348637417,3.1230792662,False,Empuries,research,1732,manelor,cc-by,1,"manelor, guillermoalvarez_fecdas, manelor",1,0,web,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Sphaerococcaceae,Sphaerococcus
468387,2025-05-31,2025-05-31,2025-05-27,08:14:00,mollusca,35200,species,Thuridilla hopei,42.1348637417,3.1230792662,False,Empuries,research,1732,manelor,cc-by,1,"manelor, jaume-piera",1,0,web,Animalia,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,Thuridilla
467991,2025-05-31,2025-05-31,2025-05-27,08:14:00,actinopterygii,34805,species,Sarpa salpa,42.1348637417,3.1230792662,False,Empuries,research,1732,manelor,cc-by,1,"manelor, jaume-piera",1,0,web,Animalia,Chordata,Teleostei,Perciformes,Sparidae,Sarpa
467901,2025-05-31,2025-05-31,2025-05-27,08:10:00,actinopterygii,35125,species,Mullus surmuletus,42.1348637417,3.1230792662,False,Empuries,research,1732,manelor,cc-by,1,"manelor, jaume-piera",1,0,web,Animalia,Chordata,Teleostei,Perciformes,Mullidae,Mullus
467873,2025-05-31,2025-05-31,2025-05-27,08:09:00,mollusca,253572,species,Venus verrucosa,42.1348637417,3.1230792662,False,Empuries,research,1732,manelor,cc-by,1,"manelor, guillermoalvarez_fecdas",1,0,web,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Venus
467872,2025-05-31,2025-05-31,2025-05-27,08:06:00,actinopterygii,34835,species,Coris julis,42.1348637417,3.1230792662,False,Empuries,research,1732,manelor,cc-by,1,"manelor, guillermoalvarez_fecdas",1,0,web,Animalia,Chordata,Teleostei,Perciformes,Labridae,Coris
467870,2025-05-31,2025-05-31,2025-05-27,08:01:00,plantae,35158,species,Acetabularia acetabulum,42.1348637417,3.1230792662,False,Empuries,research,1732,manelor,cc-by,1,"manelor, guillermoalvarez_fecdas",1,0,web,Plantae,Chlorophyta,Ulvophyceae,Dasycladales,Polyphysaceae,Acetabularia
467679,2025-05-31,2025-05-31,2025-05-27,07:51:00,actinopterygii,34965,species,Scorpaena porcus,42.1348637417,3.1230792662,False,Empuries,research,1732,manelor,cc-by,1,"manelor, jaume-piera",1,0,web,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Scorpaena
465382,2025-05-31,2025-05-31,2025-05-30,14:36:00,mollusca,35075,species,Octopus vulgaris,41.8912066383,3.2013665728,False,"Llafranc, Palafrugell, Baix Empordà, Girona, Catalunya, 17211, Espanya",research,804,martanp,cc-by-nc,1,"martanp, jaume-piera",1,0,web,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus
465381,2025-05-31,2025-05-31,2025-05-30,14:30:00,actinopterygii,35194,species,Thalassoma pavo,41.8912066383,3.2013665728,False,"Llafranc, Palafrugell, Baix Empordà, Girona, Catalunya, 17211, Espanya",research,804,martanp,cc-by-nc,1,"martanp, jaume-piera",1,0,web,Animalia,Chordata,Teleostei,Perciformes,Labridae,Thalassoma
465380,2025-05-31,2025-05-31,2025-05-30,14:26:00,mollusca,35075,species,Octopus vulgaris,41.8912066383,3.2013665728,False,"Llafranc, Palafrugell, Baix Empordà, Girona, Catalunya, 17211, Espanya",research,804,martanp,cc-by-nc,1,"martanp, jaume-piera",1,0,web,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus
465156,2025-05-31,2025-05-31,2025-05-30,09:55:00,mollusca,35075,species,Octopus vulgaris,41.7211167492,2.9399855635,False,Spain,research,4368,meri_superdive,cc-by,1,"meri_superdive, jaume-piera",1,0,web,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus
465155,2025-05-31,2025-05-31,2025-05-30,09:55:00,actinopterygii,226487,species,Zeus faber,41.7196758773,2.94074176,False,Spain,research,4368,meri_superdive,cc-by,1,"meri_superdive, jaume-piera",1,0,web,Animalia,Chordata,Teleostei,Zeiformes,Zeidae,Zeus
465153,2025-05-31,2025-05-31,2025-05-30,09:55:00,actinopterygii,226487,species,Zeus faber,41.7196878847,2.9411171767,False,Spain,research,4368,meri_superdive,cc-by,1,"meri_superdive, jaume-piera",1,0,web,Animalia,Chordata,Teleostei,Zeiformes,Zeidae,Zeus
465152,2025-05-31,2025-05-31,2025-05-30,09:55:00,mollusca,34923,species,Pinna rudis,41.7204083246,2.9412780299,False,Spain,research,4368,meri_superdive,cc-by,1,"meri_superdive, jaume-piera",1,0,web,Animalia,Mollusca,Bivalvia,Ostreida,Pinnidae,Pinna
465151,2025-05-31,2025-05-31,2025-05-30,09:55:00,mollusca,35075,species,Octopus vulgaris,41.721231734,2.9398945798,False,Spain,research,4368,meri_superdive,cc-by,1,"meri_superdive, jaume-piera",1,0,web,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus
464812,2025-05-30,2025-05-31,2025-05-30,17:15:00,actinopterygii,34847,species,Gobius cobitis,41.9640777095,3.2276583238,False,"Cala d'Aiguafreda, 17255, España",research,1112,mjvergotti,cc-by-nc,1,"mjvergotti, xasalva",1,0,web,Animalia,Chordata,Teleostei,Gobiiformes,Gobiidae,Gobius
464811,2025-05-30,2025-05-31,2025-05-30,08:13:00,mollusca,248674,species,Felimare fontandraui,41.9308164473,3.2208505732,False,Spain,research,1112,mjvergotti,cc-by-nc,1,"mjvergotti, xasalva, xasalva, mjvergotti",1,0,web,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Felimare
464810,2025-05-30,2025-05-31,2025-05-30,08:09:00,cnidaria,34869,species,Parazoanthus axinellae,41.9308164473,3.2208505732,False,Spain,research,1112,mjvergotti,cc-by-nc,1,"mjvergotti, xasalva",1,0,web,Animalia,Cnidaria,Anthozoa,Zoantharia,Parazoanthidae,Parazoanthus
464809,2025-05-30,2025-05-31,2025-05-30,08:06:00,mollusca,35185,species,Felimare picta,41.9308164473,3.2208505732,False,Spain,research,1112,mjvergotti,cc-by-nc,1,"mjvergotti, xasalva",1,0,web,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Felimare
464808,2025-05-30,2025-05-31,2025-05-30,08:54:00,aves,257383,species,Gulosus aristotelis,41.9308164473,3.2208505732,False,Spain,research,1112,mjvergotti,cc-by-nc,1,"mjvergotti, xasalva",1,0,web,Animalia,Chordata,Aves,Ciconiiformes,Phalacrocoracidae,Gulosus
464807,2025-05-30,2025-05-31,2025-05-30,17:22:00,cnidaria,35220,species,Anemonia viridis,41.9640777095,3.2276583238,False,"Cala d'Aiguafreda, 17255, España",research,1112,mjvergotti,cc-by-nc,1,"mjvergotti, xasalva",1,0,web,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia
