PARTICIPANT,OBSERVACIONS,ESPÈCIES,IDENTIFICACIONS
manelor,6945,627,0.0
guillermoalvarez,5021,599,6847.0
ealcaniz,4707,319,415.0
jastals,3435,328,10.0
conxi,3154,304,0.0
miquel17300,2228,170,0.0
joangarcia,1886,234,0.0
yespi,1860,208,115.0
badosa,1821,365,12889.0
evararo,1637,212,0.0
mpontes,1437,268,10.0
mingokt,1374,208,92.0
francesc_f,1316,174,952.0
martanp,1214,186,123.0
nuriasireni,1181,120,0.0
urti,1174,153,0.0
eloi_sanz,1133,193,68.0
peixderoca24,1119,253,6.0
calypsobcn,1086,128,6.0
jmturon,942,227,10.0
virginia_canet,824,193,65.0
jalaball,774,143,6.0
loreto_rodriguez,742,200,11164.0
eloi_alcaide,740,200,1.0
joaquibote,582,145,0.0
eul_a_liarc,538,107,0.0
nereavieitez,538,173,4.0
divingandcombat,532,164,15.0
gregoribdn,518,192,0.0
asalva1,507,131,0.0
marga,480,94,0.0
rickydiving,469,99,142.0
annacanela,438,100,0.0
portu,420,94,0.0
xparellada,417,119,831.0
romu_freediving_photography,416,160,0.0
ferranrourediver,403,124,0.0
francesca,391,95,0.0
xavibou,377,188,0.0
mik_peixos,376,95,0.0
anabel_salmeron,338,122,1.0
borisweitzmann,337,143,46.0
agatals,334,86,0.0
albertvim,327,144,125.0
xavisanjuan,311,155,0.0
saragasull,305,117,1.0
jordifors,303,88,3.0
sergisoldevila,300,110,14.0
estades_marines,295,87,0.0
seathevish,288,94,0.0
otger_salva,284,133,0.0
artigassole,279,116,0.0
martinacm,275,70,0.0
adela,244,83,11.0
adriacompte,243,57,71.0
mjvergotti,241,141,143.0
alexm,240,59,0.0
juanvi,234,95,34.0
aranzazuab,221,70,0.0
saita_diving,213,44,0.0
xmas,210,57,0.0
pauperrim,206,106,0.0
csr,198,89,0.0
margastoncodony,197,56,3.0
oscarcg31,184,106,45.0
paula_ell,178,56,0.0
jorgesusicamara,176,68,0.0
cave_cavet,172,65,18.0
monicafranco_fotosub,168,79,0.0
ramonservitje,161,91,0.0
biosub,155,127,10.0
tonihillaalos,154,57,0.0
eduardmarques,154,107,0.0
carlos88,150,59,0.0
ngoncubells,140,32,0.0
anna_olive_abello,129,65,0.0
francismpp,126,85,21.0
uri11rodri,121,53,0.0
davidtsh,116,48,0.0
juanbautistatortosa,113,42,0.0
meri_superdive,113,55,2.0
ruizmfrn,111,48,0.0
cocolotus,109,82,0.0
matfer,106,59,0.0
mcollell91,101,82,0.0
lioba,100,52,173.0
sergio_zafra,95,59,1.0
ricard,93,34,7.0
asters,91,65,0.0
gnomumarta,90,48,0.0
emiliduran,89,54,0.0
jordi_balague,89,61,0.0
so_po,88,32,0.0
toni,78,58,0.0
isaac_susi,73,33,0.0
elisenda_casabona,70,48,0.0
cris1954,69,43,0.0
martatv,69,32,0.0
nerea,67,34,0.0
ed_berdie,66,41,6.0
mvilabel,66,44,0.0
anacente,64,29,0.0
josepanguita,63,33,0.0
joselu_00,62,49,0.0
j_simic,61,45,0.0
clara_d6,60,47,9.0
jordi2000,60,22,0.0
erodribo,59,26,0.0
edulg,57,50,2.0
r_diver_bcn,57,30,0.0
iescandelera,57,20,0.0
srolivella,57,34,0.0
dani_rhincodontypus24,56,44,1924.0
hectorserranocereijo,56,38,0.0
jotrimo,55,21,0.0
sandrajoel,55,31,0.0
the_underwaters,53,37,0.0
jordilopesino,53,40,0.0
idoia,52,29,0.0
patriciabesem,52,29,0.0
danigc89,51,29,0.0
jaume,50,28,0.0
ferran_a_j,48,38,3.0
jarguedas,48,27,0.0
albertorubio,47,28,0.0
david_marco,47,41,0.0
ali_cr,46,35,0.0
laure,45,20,0.0
maperez79,45,38,0.0
mcomerma,45,39,0.0
crisvil,43,28,0.0
arnau225,43,19,8.0
bertamari,43,24,0.0
crismc,42,31,0.0
ferrangallo,40,32,0.0
danimol,40,24,0.0
marc_ocean,39,31,29.0
aina_5,39,27,0.0
ljaneemo,38,23,0.0
conchigago,38,24,0.0
erik97,37,29,0.0
alexdesagarra,37,33,0.0
pepe_molero,36,27,0.0
cem,36,18,0.0
mdt14,35,12,0.0
pladeveya,35,33,0.0
shey,35,23,0.0
albaw,34,21,0.0
ferranlozan0,34,23,0.0
e-submarinismo,34,14,0.0
eug,33,17,0.0
giuliponcee,33,23,0.0
patopi,33,29,0.0
blausubmari,32,28,0.0
xavierlln,32,29,1.0
sosonacho,32,23,3.0
pedrogono,32,20,0.0
laurapb93,31,16,0.0
tiana,30,13,0.0
marbp2006,30,25,0.0
auroramgonzalez,29,18,0.0
elpeco,29,17,0.0
chumi,29,16,0.0
cristi17,28,23,0.0
cescgv,28,22,10.0
a_carulla,28,21,0.0
wolfsms,28,13,0.0
laiadiezahijado,27,16,0.0
marcsendra,27,20,0.0
joselito,27,22,0.0
efarmengol,26,20,0.0
eme,26,14,5.0
elemeoow,26,17,0.0
jbm9359,26,20,0.0
ranny,26,17,0.0
marinatp,26,21,0.0
xavip,26,18,0.0
marcfotosub,26,20,0.0
carlota-ramos,25,20,0.0
laia3421,25,18,0.0
danielss,25,21,0.0
pedrocdm,25,22,0.0
nani,25,24,0.0
andrea_pr,23,16,0.0
lendendiver,23,13,0.0
sandralba,23,16,0.0
clarillacool,23,17,12.0
javitubos,23,16,0.0
robert,23,18,0.0
alex_melich,23,18,8.0
danisantiago,23,17,0.0
les_ou_ferrat,22,13,0.0
susanna,22,17,0.0
irenebernabeu,22,12,0.0
mercemarsamartinez,21,12,0.0
eica_isb,21,17,0.0
