PARTICIPANT,OBSERVACIONS,ESPÈCIES,IDENTIFICACIONS
guillermoalvarez,2338,421,1289.0
ealcaniz,1790,176,53.0
nuriasireni,1119,117,0.0
eloi_sanz,795,141,9.0
jalaball,692,137,3.0
calypsobcn,690,95,1.0
jastals,545,113,0.0
mingokt,518,123,6.0
badosa,499,146,2003.0
jmturon,381,123,9.0
mpontes,374,140,3.0
gregoribdn,367,152,0.0
annacanela,349,89,0.0
conxi,325,83,0.0
asalva1,295,105,0.0
otger_salva,265,127,0.0
yespi,258,84,79.0
rickydiving,225,70,18.0
saita_diving,209,44,0.0
artigassole,207,97,0.0
jordifors,158,61,0.0
virginia_canet,150,60,7.0
martinacm,146,47,0.0
ngoncubells,140,32,0.0
margastoncodony,116,34,0.0
xparellada,108,60,159.0
martanp,104,52,40.0
nereavieitez,96,51,0.0
davidtsh,95,45,0.0
loreto_rodriguez,84,45,1672.0
oscarcg31,81,58,3.0
romu_freediving_photography,81,23,0.0
evararo,72,32,0.0
anna_olive_abello,69,43,0.0
joaquibote,64,26,0.0
j_simic,59,45,0.0
portu,54,28,0.0
jordilopesino,53,40,0.0
francesca,53,22,0.0
jaume,50,28,0.0
dani_rhincodontypus24,48,39,367.0
laure,45,20,0.0
mcomerma,43,37,0.0
bertamari,43,24,0.0
crismc,42,31,0.0
arnau225,42,19,7.0
seathevish,41,19,0.0
ramonservitje,41,35,0.0
cris1954,39,26,0.0
marc_ocean,38,31,2.0
cem,36,18,0.0
mdt14,35,12,0.0
adela,34,19,0.0
e-submarinismo,34,14,0.0
srolivella,34,21,0.0
ferranrourediver,32,17,0.0
eul_a_liarc,31,17,0.0
tiana,30,13,0.0
elpeco,29,17,0.0
chumi,29,16,0.0
laiadiezahijado,27,16,0.0
giuliponcee,27,17,0.0
eme,25,14,5.0
juanbautistatortosa,23,13,0.0
marga,23,16,0.0
eica_isb,21,17,0.0
pauladelmar,21,1,13.0
les_ou_ferrat,20,12,0.0
nif_al_mar,20,20,0.0
camila_nunez,19,14,0.0
xmas,19,9,0.0
lioba,19,16,26.0
asielorz,18,15,0.0
iangonzalez,18,11,0.0
mik_peixos,18,14,0.0
emmadmv08,16,13,0.0
arnau,15,13,0.0
noni777,14,5,0.0
asilanes,14,6,0.0
jancl,14,12,0.0
matfer,14,11,0.0
judit12,13,13,0.0
fabian,13,7,0.0
pasej,13,7,0.0
giulia,13,13,0.0
izanbermudez,13,13,0.0
sarahrusso,13,8,0.0
mochilo75,13,11,0.0
sara_coco,12,8,0.0
xavierlln,12,12,1.0
sandrajoel,12,6,0.0
rupertgutierrez,11,6,0.0
francescvictoria,11,11,0.0
alina_sus,11,7,0.0
csr,11,9,0.0
clara_d6,10,10,0.0
eliisa526,10,8,1.0
patopi,10,10,0.0
emmapuigh,9,5,0.0
thiago,9,6,0.0
mattolivares,9,8,0.0
ed_berdie,9,8,3.0
tonihillaalos,9,6,0.0
francismpp,9,8,0.0
alfon237,8,8,0.0
mwphotos,8,6,0.0
joangarcia,8,8,0.0
danisantiago,8,8,0.0
gemmacalvo,7,2,0.0
albertorubio,7,6,0.0
hussnainali,6,6,0.0
alba_muto,6,5,0.0
llopcorrecte,6,4,0.0
joanpuigbomoll,6,6,3.0
oriolrf,5,5,0.0
curiositymicroscope,5,1,0.0
carles94,5,4,0.0
almighty_aa,5,4,0.0
ikermuela_13,5,4,0.0
quim,5,4,0.0
lucasbdn5,4,4,0.0
alexandre,4,4,0.0
rogeriis24,4,3,0.0
mireia2012,4,1,0.0
polagora50000,4,3,0.0
cristian19_hn,4,4,0.0
anagonzalez,4,4,0.0
moaibdn,4,4,0.0
davaal12,4,2,0.0
marserrano,4,3,0.0
danielss,4,4,0.0
alex_melich,4,3,3.0
sergio_zafra,4,4,1.0
jcoines,4,3,1.0
soydavidsuareze,3,3,0.0
plinplan,3,3,0.0
luciedg,3,3,0.0
katha,3,2,0.0
xila2,3,3,0.0
julenansede,3,3,0.0
ian1234,3,3,0.0
esonomartin,3,3,0.0
nora24,3,3,0.0
alvaro,3,3,0.0
kristina_krapovski,3,2,0.0
martaa,3,2,0.0
emmann,3,1,0.0
joana_oliver,3,3,0.0
historiesdemar,3,0,0.0
anonimousminkacontributor,3,3,0.0
lidiameru,3,2,0.0
blaumar,2,2,0.0
happyface,2,2,0.0
pcalo,2,2,0.0
verosalmon,2,2,0.0
pauix16,2,1,0.0
insjoanotmartorell,2,0,0.0
escolaperezsala,2,1,0.0
poolrenaau,2,2,0.0
djsaguis,2,2,0.0
polrodesguitart,2,2,0.0
laia_raurich,2,2,0.0
juan-carlos,2,2,0.0
dpl_bcasa,2,2,0.0
borisweitzmann,2,1,4.0
jaom,2,2,0.0
naturemishi,1,1,0.0
victoria117,1,1,0.0
hgregori,1,1,0.0
helenad,1,1,0.0
eder,1,1,0.0
annarb,1,1,0.0
balarosa,1,0,0.0
mariagr,1,0,0.0
vane,1,0,0.0
flaco,1,1,0.0
martasj13,1,1,0.0
cescpla,1,0,0.0
sugus,1,1,0.0
abdulch786,1,1,0.0
acd,1,1,0.0
rug,1,1,0.0
c__marya,1,1,0.0
maider,1,1,0.0
hanswurst,1,1,0.0
cristinoncia,1,1,0.0
ginadvorgee,1,1,0.0
angelina,1,1,0.0
alopez,1,1,0.0
luis,1,1,0.0
karlad,1,1,0.0
ainuski2012,1,1,0.0
ordonez,1,1,0.0
daniela_,1,1,0.0
carlota_12,1,0,0.0
asiergonza,1,0,0.0
rodero1985,1,1,0.0
rodrigo1,1,1,0.0
jordiroig,1,1,0.0
karenrc,1,0,0.0
guero,1,1,0.0
egle-bazarovaite,1,1,0.0
nuriab,1,1,2.0
pablor,1,0,0.0
jordi2000,1,1,0.0
elisenda_casabona,1,1,0.0
xavip,1,1,0.0
xavi_ventura,1,1,0.0
rubenelpro1311,1,1,0.0
juanatural,1,1,0.0
eminguez,1,1,0.0
seaprat,1,0,0.0
andres_valverde_valera,1,1,3.0
